table_name,column_name,total_rows,missing_count,missing_percentage,explained_null_count,suspicious_null_count,main_missing_class,main_missing_information_area,classification_information_count,lap_time_information_count,none_count,pit_information_count,qualifying_information_count,race_context_information_count,sector_information_count,speed_information_count,track_status_information_count,tyre_information_count,weather_information_count
lap,compound,61207,334,0.005457,0,334,SUSPICIOUS_NULL,TYRE_INFORMATION,0,0,0,0,0,0,0,0,0,334,0
lap,lap_time_ms,61207,5370,0.087735,0,5370,SUSPICIOUS_NULL,LAP_TIME_INFORMATION,0,5370,0,0,0,0,0,0,0,0,0
lap,sector1_time_ms,61207,4255,0.069518,0,4255,SUSPICIOUS_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,4255,0,0,0,0
lap,sector2_time_ms,61207,337,0.005506,0,337,SUSPICIOUS_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,337,0,0,0,0
lap,sector3_time_ms,61207,1142,0.018658,1046,96,EXPLAINED_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,1142,0,0,0,0
lap,speed_fl,61207,5536,0.090447,5467,69,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,5536,0,0,0
lap,speed_i1,61207,167,0.002728,98,69,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,167,0,0,0
lap,speed_i2,61207,301,0.004918,0,301,SUSPICIOUS_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,301,0,0,0
lap,speed_st,61207,410,0.006699,341,69,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,410,0,0,0
lap,tyre_life,61207,520,0.008496,0,520,SUSPICIOUS_NULL,TYRE_INFORMATION,0,0,0,0,0,0,0,0,0,520,0
result,grid_position,1760,2,0.001136,0,2,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,0,0,0,0,0,2,0,0,0,0,0
result,position,1760,3,0.001705,0,3,SUSPICIOUS_NULL,CLASSIFICATION_INFORMATION,3,0,0,0,0,0,0,0,0,0,0
result,q1_ms,1760,12,0.006818,0,12,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,12,0,0,0,0,0,0
result,q2_ms,1760,10,0.005682,0,10,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,10,0,0,0,0,0,0
result,q3_ms,1760,11,0.00625,0,11,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,11,0,0,0,0,0,0
result,time_ms,1760,384,0.218182,0,384,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,0,0,0,0,0,384,0,0,0,0,0
